estacao;codigo;data_hora;nivel_m;vazao;chuva
Linha Jose Julio;86472000;2026-09-20 17:45:00;4,58;297,16;0,00
Linha Jose Julio;86472000;2026-09-20 18:00:00;4,68;317,15;0,00
Linha Jose Julio;86472000;2026-09-20 18:15:00;4,87;356,72;0,00
Linha Jose Julio;86472000;2026-09-20 18:30:00;5,10;407,36;0,00
Linha Jose Julio;86472000;2026-09-20 18:45:00;5,32;458,59;0,00
Linha Jose Julio;86472000;2026-09-20 19:00:00;5,47;495,06;0,00
Linha Jose Julio;86472000;2026-09-20 19:15:00;5,57;520,06;0,00
Linha Jose Julio;86472000;2026-09-20 19:30:00;5,64;537,88;0,00
Linha Jose Julio;86472000;2026-09-20 19:45:00;5,67;545,60;0,00
Linha Jose Julio;86472000;2026-09-20 20:00:00;5,68;548,19;0,00
Linha Jose Julio;86472000;2026-09-20 20:15:00;5,69;550,78;0,00
Linha Jose Julio;86472000;2026-09-20 20:30:00;5,68;548,19;0,00
Linha Jose Julio;86472000;2026-09-20 20:45:00;5,66;543,02;0,00
Linha Jose Julio;86472000;2026-09-20 21:00:00;5,64;537,88;0,00
Linha Jose Julio;86472000;2026-09-20 21:15:00;5,63;535,32;0,00
Linha Jose Julio;86472000;2026-09-20 21:30:00;5,61;530,21;0,00
Linha Jose Julio;86472000;2026-09-20 21:45:00;5,59;525,12;0,00
Linha Jose Julio;86472000;2026-09-20 22:00:00;5,57;520,06;0,00
Linha Jose Julio;86472000;2026-09-20 22:15:00;5,55;515,01;0,00
Linha Jose Julio;86472000;2026-09-20 22:30:00;5,53;509,99;0,00
Linha Jose Julio;86472000;2026-09-20 22:45:00;5,50;502,50;0,00
Linha Jose Julio;86472000;2026-09-20 23:00:00;5,48;497,53;0,00
Linha Jose Julio;86472000;2026-09-20 23:15:00;5,46;492,59;0,00
Linha Jose Julio;86472000;2026-09-20 23:30:00;5,44;487,66;0,00
Linha Jose Julio;86472000;2026-09-20 23:45:00;5,42;482,76;0,00
Linha Jose Julio;86472000;2026-09-21 00:00:00;5,39;475,45;0,00
Linha Jose Julio;86472000;2026-09-21 00:15:00;5,37;470,61;0,00
Linha Jose Julio;86472000;2026-09-21 00:30:00;5,34;463,38;0,00
Linha Jose Julio;86472000;2026-09-21 00:45:00;5,32;458,59;0,00
Linha Jose Julio;86472000;2026-09-21 01:00:00;5,30;453,82;0,00
Linha Jose Julio;86472000;2026-09-21 01:15:00;5,28;449,07;0,00
Linha Jose Julio;86472000;2026-09-21 01:30:00;5,25;442,00;0,00
Linha Jose Julio;86472000;2026-09-21 01:45:00;5,24;439,65;0,00
Linha Jose Julio;86472000;2026-09-21 02:00:00;5,22;434,97;0,00
Linha Jose Julio;86472000;2026-09-21 02:15:00;5,21;432,64;0,00
Linha Jose Julio;86472000;2026-09-21 02:30:00;5,19;427,99;0,00
Linha Jose Julio;86472000;2026-09-21 02:45:00;5,18;425,68;0,00
Linha Jose Julio;86472000;2026-09-21 03:00:00;5,16;421,07;0,00
Linha Jose Julio;86472000;2026-09-21 03:15:00;5,15;418,77;0,00
Linha Jose Julio;86472000;2026-09-21 03:30:00;5,14;416,48;0,00
Linha Jose Julio;86472000;2026-09-21 03:45:00;5,13;414,19;0,00
Linha Jose Julio;86472000;2026-09-21 04:00:00;5,12;411,91;0,00
Linha Jose Julio;86472000;2026-09-21 04:15:00;5,12;411,91;0,00
Linha Jose Julio;86472000;2026-09-21 04:30:00;5,10;407,36;0,00
Linha Jose Julio;86472000;2026-09-21 04:45:00;5,10;407,36;0,00
Linha Jose Julio;86472000;2026-09-21 05:00:00;5,09;405,10;0,00
Linha Jose Julio;86472000;2026-09-21 05:15:00;5,08;402,84;0,00
Linha Jose Julio;86472000;2026-09-21 05:30:00;5,08;402,84;0,00
Linha Jose Julio;86472000;2026-09-21 05:45:00;5,07;400,59;0,00
Linha Jose Julio;86472000;2026-09-21 06:00:00;5,07;400,59;0,00
Linha Jose Julio;86472000;2026-09-21 06:15:00;5,07;400,59;0,20
Linha Jose Julio;86472000;2026-09-21 06:30:00;5,06;398,34;1,60
Linha Jose Julio;86472000;2026-09-21 06:45:00;5,07;400,59;5,40
Linha Jose Julio;86472000;2026-09-21 07:00:00;5,07;400,59;5,40
Linha Jose Julio;86472000;2026-09-21 07:15:00;5,07;400,59;5,80
Linha Jose Julio;86472000;2026-09-21 07:30:00;5,07;400,59;6,00
Linha Jose Julio;86472000;2026-09-21 07:45:00;5,09;405,10;16,60
Linha Jose Julio;86472000;2026-09-21 08:00:00;5,12;411,91;15,40
Linha Jose Julio;86472000;2026-09-21 08:15:00;5,18;425,68;14,00
Linha Jose Julio;86472000;2026-09-21 08:30:00;5,27;446,71;10,20
Linha Jose Julio;86472000;2026-09-21 08:45:00;5,39;475,45;8,40
Linha Jose Julio;86472000;2026-09-21 09:00:00;5,60;527,66;4,40
Linha Jose Julio;86472000;2026-09-21 09:15:00;5,83;587,61;2,20
Linha Jose Julio;86472000;2026-09-21 09:30:00;6,11;664,44;0,60
Linha Jose Julio;86472000;2026-09-21 09:45:00;6,44;760,34;2,60
Linha Jose Julio;86472000;2026-09-21 10:00:00;6,73;849,34;7,20
Linha Jose Julio;86472000;2026-09-21 10:15:00;6,89;900,32;1,80
Linha Jose Julio;86472000;2026-09-21 10:30:00;6,90;903,55;2,20
Linha Jose Julio;86472000;2026-09-21 10:45:00;6,83;881,05;4,20
Linha Jose Julio;86472000;2026-09-21 11:00:00;6,80;871,48;2,80
Linha Jose Julio;86472000;2026-09-21 11:15:00;6,81;874,67;1,20
Linha Jose Julio;86472000;2026-09-21 11:30:00;6,92;910,02;0,60
Linha Jose Julio;86472000;2026-09-21 11:45:00;6,94;916,52;0,40
Linha Jose Julio;86472000;2026-09-21 12:00:00;7,15;985,96;0,20
Linha Jose Julio;86472000;2026-09-21 12:15:00;7,32;1043,82;0,00
Linha Jose Julio;86472000;2026-09-21 12:30:00;7,34;1050,73;5,60
Linha Jose Julio;86472000;2026-09-21 12:45:00;7,36;1057,65;1,60
Linha Jose Julio;86472000;2026-09-21 13:00:00;8,32;1413,57;6,60
Linha Jose Julio;86472000;2026-09-21 13:30:00;11,35;2828,00;0,20
Linha Jose Julio;86472000;2026-09-21 13:45:00;11,89;3124,74;0,40
Linha Jose Julio;86472000;2026-09-21 14:00:00;12,34;3382,05;0,40
Linha Jose Julio;86472000;2026-09-21 14:15:00;12,67;3576,49;0,20
Linha Jose Julio;86472000;2026-09-21 14:30:00;12,92;3727,00;1,00
Linha Jose Julio;86472000;2026-09-21 14:45:00;13,10;3837,08;0,20
Linha Jose Julio;86472000;2026-09-21 15:00:00;13,25;3929,90;0,00
Linha Jose Julio;86472000;2026-09-21 15:15:00;13,40;4023,70;0,00
Linha Jose Julio;86472000;2026-09-21 15:30:00;13,57;4131,21;0,00
Linha Jose Julio;86472000;2026-09-21 15:45:00;13,72;4227,11;0,00
Linha Jose Julio;86472000;2026-09-21 16:00:00;13,90;4343,48;0,40
Linha Jose Julio;86472000;2026-09-21 16:15:00;14,09;4467,85;0,20
Linha Jose Julio;86472000;2026-09-21 16:30:00;14,26;4580,45;0,00
Linha Jose Julio;86472000;2026-09-21 16:45:00;14,47;4721,26;0,60
Linha Jose Julio;86472000;2026-09-21 17:00:00;14,67;4857,13;0,00
Linha Jose Julio;86472000;2026-09-21 17:15:00;14,85;4980,88;0,00
Linha Jose Julio;86472000;2026-09-21 17:30:00;14,96;5057,18;0,00
Linha Jose Julio;86472000;2026-09-21 17:45:00;15,13;5176,13;0,20
Linha Jose Julio;86472000;2026-09-21 18:00:00;15,28;5282,10;0,20
Linha Jose Julio;86472000;2026-09-21 18:15:00;15,43;5389,02;0,00
Linha Jose Julio;86472000;2026-09-21 18:30:00;15,59;5504,13;0,00
Linha Jose Julio;86472000;2026-09-21 18:45:00;15,84;5686,15;0,20
Linha Jose Julio;86472000;2026-09-21 19:00:00;16,08;5863,36;0,00
Linha Jose Julio;86472000;2026-09-21 19:15:00;16,38;6088,28;0,00
Linha Jose Julio;86472000;2026-09-21 19:30:00;16,69;6324,65;0,00
Linha Jose Julio;86472000;2026-09-21 19:45:00;17,00;6565,01;0,00
Linha Jose Julio;86472000;2026-09-21 20:00:00;17,23;6745,93;0,00
Linha Jose Julio;86472000;2026-09-21 20:15:00;17,49;6950,38;0,00
Linha Jose Julio;86472000;2026-09-21 20:30:00;17,66;7071,39;0,00
Linha Jose Julio;86472000;2026-09-21 20:45:00;17,84;7200,40;0,00
Linha Jose Julio;86472000;2026-09-21 21:00:00;18,05;7352,02;0,00
Linha Jose Julio;86472000;2026-09-21 21:15:00;18,28;7519,47;0,00
Linha Jose Julio;86472000;2026-09-21 21:30:00;18,52;7695,73;0,00
Linha Jose Julio;86472000;2026-09-21 21:45:00;18,74;7858,67;0,00
Linha Jose Julio;86472000;2026-09-21 22:00:00;19,00;8052,90;0,20
Linha Jose Julio;86472000;2026-09-21 22:15:00;19,18;8188,44;0,00
Linha Jose Julio;86472000;2026-09-21 22:30:00;19,38;8340,04;0,00
Linha Jose Julio;86472000;2026-09-21 22:45:00;19,48;8416,24;0,00
Linha Jose Julio;86472000;2026-09-21 23:00:00;19,55;8469,73;0,00
Linha Jose Julio;86472000;2026-09-21 23:15:00;19,76;8631,00;0,00
Linha Jose Julio;86472000;2026-09-21 23:30:00;19,95;8777,90;0,00
Linha Jose Julio;86472000;2026-09-21 23:45:00;20,02;8832,27;0,00
Linha Jose Julio;86472000;2026-09-22 00:00:00;20,12;8910,15;0,00
Linha Jose Julio;86472000;2026-09-22 00:15:00;20,18;8957,00;0,00
Linha Jose Julio;86472000;2026-09-22 00:30:00;20,19;8964,82;0,00
Linha Jose Julio;86472000;2026-09-22 00:45:00;20,20;8972,64;0,00
Linha Jose Julio;86472000;2026-09-22 01:00:00;20,15;8933,56;0,00
Linha Jose Julio;86472000;2026-09-22 01:15:00;20,13;8917,95;0,00
Linha Jose Julio;86472000;2026-09-22 01:30:00;20,11;8902,35;0,00
Linha Jose Julio;86472000;2026-09-22 01:45:00;20,04;8847,82;0,00
Linha Jose Julio;86472000;2026-09-22 02:00:00;19,92;8754,65;0,00
Linha Jose Julio;86472000;2026-09-22 02:15:00;19,87;8715,93;0,00
Linha Jose Julio;86472000;2026-09-22 02:30:00;19,82;8677,29;0,00
Santa Tereza;86472600;2026-09-20 00:00:00;3,77;;1,40
Santa Tereza;86472600;2026-09-20 00:15:00;3,76;;0,40
Santa Tereza;86472600;2026-09-20 00:30:00;3,76;;0,40
Santa Tereza;86472600;2026-09-20 00:45:00;3,75;;0,20
Santa Tereza;86472600;2026-09-20 01:00:00;3,74;;0,00
Santa Tereza;86472600;2026-09-20 01:15:00;3,73;;0,00
Santa Tereza;86472600;2026-09-20 01:30:00;3,72;;0,00
Santa Tereza;86472600;2026-09-20 01:45:00;3,72;;0,00
Santa Tereza;86472600;2026-09-20 02:00:00;3,70;;0,00
Santa Tereza;86472600;2026-09-20 02:15:00;3,69;;0,20
Santa Tereza;86472600;2026-09-20 02:30:00;3,68;;0,00
Santa Tereza;86472600;2026-09-20 02:45:00;3,67;;0,00
Santa Tereza;86472600;2026-09-20 03:00:00;3,66;;0,00
Santa Tereza;86472600;2026-09-20 03:15:00;3,65;;0,00
Santa Tereza;86472600;2026-09-20 03:30:00;3,64;;0,00
Santa Tereza;86472600;2026-09-20 03:45:00;3,62;;0,00
Santa Tereza;86472600;2026-09-20 04:00:00;3,61;;0,00
Santa Tereza;86472600;2026-09-20 04:15:00;3,61;;0,00
Santa Tereza;86472600;2026-09-20 04:30:00;3,60;;0,00
Santa Tereza;86472600;2026-09-20 04:45:00;3,60;;0,00
Santa Tereza;86472600;2026-09-20 05:00:00;3,59;;0,00
Santa Tereza;86472600;2026-09-20 05:15:00;3,59;;0,00
Santa Tereza;86472600;2026-09-20 05:30:00;3,58;;0,00
Santa Tereza;86472600;2026-09-20 05:45:00;3,58;;0,00
Santa Tereza;86472600;2026-09-20 06:00:00;3,57;;0,00
Santa Tereza;86472600;2026-09-20 06:15:00;3,57;;0,00
Santa Tereza;86472600;2026-09-20 06:30:00;3,56;;0,00
Santa Tereza;86472600;2026-09-20 06:45:00;3,56;;0,00
Santa Tereza;86472600;2026-09-20 07:00:00;3,55;;0,00
Santa Tereza;86472600;2026-09-20 07:15:00;3,55;;0,00
Santa Tereza;86472600;2026-09-20 07:30:00;3,54;;0,00
Santa Tereza;86472600;2026-09-20 07:45:00;3,53;;0,00
Santa Tereza;86472600;2026-09-20 08:00:00;3,52;;0,00
Santa Tereza;86472600;2026-09-20 08:15:00;3,52;;0,00
Santa Tereza;86472600;2026-09-20 08:30:00;3,51;;0,00
Santa Tereza;86472600;2026-09-20 08:45:00;3,50;;0,00
Santa Tereza;86472600;2026-09-20 09:00:00;3,49;;0,00
Santa Tereza;86472600;2026-09-20 09:15:00;3,48;;0,00
Santa Tereza;86472600;2026-09-20 09:30:00;3,47;;0,00
Santa Tereza;86472600;2026-09-20 09:45:00;3,47;;0,00
Santa Tereza;86472600;2026-09-20 10:00:00;3,46;;0,00
Santa Tereza;86472600;2026-09-20 10:15:00;3,45;;0,20
Santa Tereza;86472600;2026-09-20 10:30:00;3,43;;0,00
Santa Tereza;86472600;2026-09-20 10:45:00;3,41;;0,00
Santa Tereza;86472600;2026-09-20 11:00:00;3,37;;0,00
Santa Tereza;86472600;2026-09-20 11:15:00;3,32;;0,00
Santa Tereza;86472600;2026-09-20 11:30:00;3,26;;0,00
Santa Tereza;86472600;2026-09-20 11:45:00;3,19;;0,00
Santa Tereza;86472600;2026-09-20 12:00:00;3,12;;0,00
Santa Tereza;86472600;2026-09-20 12:15:00;3,04;;0,00
Santa Tereza;86472600;2026-09-20 12:30:00;2,96;;0,00
Santa Tereza;86472600;2026-09-20 12:45:00;2,88;;0,00
Santa Tereza;86472600;2026-09-20 13:00:00;2,81;;0,00
Santa Tereza;86472600;2026-09-20 13:15:00;2,74;;0,00
Santa Tereza;86472600;2026-09-20 13:30:00;2,67;;0,00
Santa Tereza;86472600;2026-09-20 13:45:00;2,62;;0,00
Santa Tereza;86472600;2026-09-20 14:00:00;2,56;;0,00
Santa Tereza;86472600;2026-09-20 14:15:00;2,51;;0,00
Santa Tereza;86472600;2026-09-20 14:30:00;2,47;;0,00
Santa Tereza;86472600;2026-09-20 14:45:00;2,44;;0,00
Santa Tereza;86472600;2026-09-20 15:00:00;2,42;;0,00
Santa Tereza;86472600;2026-09-20 15:15:00;2,40;;0,00
Santa Tereza;86472600;2026-09-20 15:30:00;2,41;;0,00
Santa Tereza;86472600;2026-09-20 15:45:00;2,42;;0,00
Santa Tereza;86472600;2026-09-20 16:00:00;2,44;;0,00
Santa Tereza;86472600;2026-09-20 16:15:00;2,48;;0,00
Santa Tereza;86472600;2026-09-20 16:30:00;2,52;;0,00
Santa Tereza;86472600;2026-09-20 16:45:00;2,57;;0,00
Santa Tereza;86472600;2026-09-20 17:00:00;2,62;;0,00
Santa Tereza;86472600;2026-09-20 17:15:00;2,68;;0,00
Santa Tereza;86472600;2026-09-20 17:30:00;2,74;;0,00
Santa Tereza;86472600;2026-09-20 17:45:00;2,80;;0,00
Santa Tereza;86472600;2026-09-20 18:00:00;2,86;;0,00
Santa Tereza;86472600;2026-09-20 18:15:00;2,91;;0,00
Santa Tereza;86472600;2026-09-20 18:30:00;2,97;;0,00
Santa Tereza;86472600;2026-09-20 18:45:00;3,03;;0,00
Santa Tereza;86472600;2026-09-20 19:00:00;3,08;;0,00
Santa Tereza;86472600;2026-09-20 19:15:00;3,15;;0,00
Santa Tereza;86472600;2026-09-20 19:30:00;3,24;;0,00
Santa Tereza;86472600;2026-09-20 19:45:00;3,36;;0,00
Santa Tereza;86472600;2026-09-20 20:00:00;3,50;;0,00
Santa Tereza;86472600;2026-09-20 20:15:00;3,65;;0,00
Santa Tereza;86472600;2026-09-20 20:30:00;3,79;;0,00
Santa Tereza;86472600;2026-09-20 20:45:00;3,91;;0,00
Santa Tereza;86472600;2026-09-20 21:00:00;4,01;;0,00
Santa Tereza;86472600;2026-09-20 21:15:00;4,09;;0,00
Santa Tereza;86472600;2026-09-20 21:30:00;4,14;;0,00
Santa Tereza;86472600;2026-09-20 21:45:00;4,17;;0,00
Santa Tereza;86472600;2026-09-20 22:00:00;4,20;;0,00
Santa Tereza;86472600;2026-09-20 22:15:00;4,21;;0,00
Santa Tereza;86472600;2026-09-20 22:30:00;4,21;;0,00
Santa Tereza;86472600;2026-09-20 22:45:00;4,21;;0,00
Santa Tereza;86472600;2026-09-20 23:00:00;4,20;;0,00
Santa Tereza;86472600;2026-09-20 23:15:00;4,19;;0,00
Santa Tereza;86472600;2026-09-20 23:30:00;4,17;;0,00
Santa Tereza;86472600;2026-09-20 23:45:00;4,16;;0,00
Santa Tereza;86472600;2026-09-21 00:00:00;4,14;;0,00
Santa Tereza;86472600;2026-09-21 00:15:00;4,12;;0,00
Santa Tereza;86472600;2026-09-21 00:30:00;4,10;;0,00
Santa Tereza;86472600;2026-09-21 00:45:00;4,08;;0,00
Santa Tereza;86472600;2026-09-21 01:00:00;4,06;;0,00
Santa Tereza;86472600;2026-09-21 01:15:00;4,04;;0,00
Santa Tereza;86472600;2026-09-21 01:30:00;4,02;;0,00
Santa Tereza;86472600;2026-09-21 01:45:00;4,00;;0,00
Santa Tereza;86472600;2026-09-21 02:00:00;3,98;;0,00
Santa Tereza;86472600;2026-09-21 02:15:00;3,96;;0,00
