estacao;codigo;data_hora;nivel_m;vazao;chuva
Santa Tereza;86472600;2026-09-21 19:45:00;13,56;;0,00
Santa Tereza;86472600;2026-09-21 20:00:00;13,75;;0,00
Santa Tereza;86472600;2026-09-21 20:15:00;13,99;;0,00
Santa Tereza;86472600;2026-09-21 20:30:00;14,19;;0,00
Santa Tereza;86472600;2026-09-21 20:45:00;14,36;;0,00
Santa Tereza;86472600;2026-09-21 21:00:00;14,56;;0,00
Santa Tereza;86472600;2026-09-21 21:15:00;14,75;;0,00
Santa Tereza;86472600;2026-09-21 21:30:00;14,93;;0,00
Santa Tereza;86472600;2026-09-21 21:45:00;15,13;;0,00
Santa Tereza;86472600;2026-09-21 22:00:00;15,34;;0,00
Santa Tereza;86472600;2026-09-21 22:15:00;15,53;;0,00
Santa Tereza;86472600;2026-09-21 22:30:00;15,74;;0,00
Santa Tereza;86472600;2026-09-21 22:45:00;15,90;;0,00
Santa Tereza;86472600;2026-09-21 23:00:00;16,07;;0,00
Santa Tereza;86472600;2026-09-21 23:15:00;16,23;;0,00
Santa Tereza;86472600;2026-09-21 23:30:00;16,37;;0,00
Santa Tereza;86472600;2026-09-21 23:45:00;16,52;;0,00
Santa Tereza;86472600;2026-09-22 00:00:00;16,67;;0,00
Santa Tereza;86472600;2026-09-22 00:15:00;16,83;;0,00
Santa Tereza;86472600;2026-09-22 00:30:00;16,90;;0,00
Santa Tereza;86472600;2026-09-22 00:45:00;16,96;;0,00
Santa Tereza;86472600;2026-09-22 01:00:00;17,00;;0,00
Santa Tereza;86472600;2026-09-22 01:15:00;17,05;;0,00
Santa Tereza;86472600;2026-09-22 01:30:00;17,13;;0,00
Santa Tereza;86472600;2026-09-22 01:45:00;17,16;;0,00
Santa Tereza;86472600;2026-09-22 02:00:00;17,11;;0,00
Santa Tereza;86472600;2026-09-22 02:15:00;17,08;;0,00
Santa Tereza;86472600;2026-09-22 02:30:00;17,07;;0,00
Santa Tereza;86472600;2026-09-22 02:45:00;17,02;;0,00
